id,nombre,cargo,grupo,nucleo,nivel_riesgo,nivel_influencia,avatar_local,iniciales,descripcion,fuente_nombre,fuente_url,fecha_corte,fractura_nivel,fractura_motivo,op_politica,cap_conciliadora,com_conectiva,legitimidad,resiliencia,foda_fortalezas,foda_oportunidades,foda_debilidades,foda_amenazas
ojeda,Rafael Ojeda Durán,Exsecretario de Marina,Institucional,,alto,3,,RO,"Exsecretario de Marina-Armada de México (2018-2024). Sus sobrinos políticos, los hermanos Farías Laguna, son señalados como líderes de la red de huachicol fiscal descubierta en la dependencia.",Infobae,https://www.infobae.com/mexico/2026/08/21/buques-empresas-fantasma-y-servidores-publicos-corruptos-el-mapa-del-huachicol-fiscal-que-llevo-a-farias-laguna-al-altiplano/,2026-08-21,,,,,,,,,,,
farias_manuel,Manuel Roberto Farías Laguna,Exvicealmirante de la Semar,Institucional,,alto,2,,MF,"Exvicealmirante de la Secretaría de Marina, detenido en septiembre de 2025 y preso en el penal del Altiplano, señalado como líder de la red de huachicol fiscal junto con su hermano Fernando.",Infobae,https://www.infobae.com/mexico/2026/08/21/buques-empresas-fantasma-y-servidores-publicos-corruptos-el-mapa-del-huachicol-fiscal-que-llevo-a-farias-laguna-al-altiplano/,2026-08-21,,,,,,,,,,,
farias_fernando,Fernando Farías Laguna,Excontralmirante de la Semar,Institucional,,alto,2,,FF,"Excontralmirante de la Marina, prófugo desde 2025; fue detenido en Buenos Aires el 23 de abril de 2026 con pasaporte falso y trasladado a México en agosto de 2026 por su presunto liderazgo en la red de huachicol fiscal.",Infobae,https://www.infobae.com/mexico/2026/08/21/buques-empresas-fantasma-y-servidores-publicos-corruptos-el-mapa-del-huachicol-fiscal-que-llevo-a-farias-laguna-al-altiplano/,2026-08-21,,,,,,,,,,,
marina_pilar,Marina del Pilar Ávila,Gobernadora de Baja California,Sheinbaum,,alto,5,,MP,"Gobernadora de Baja California; confirmó que a ella y a su esposo, un exdiputado, les fue revocada la visa estadounidense por 'una situación' relacionada con él, en el marco de una ola de retiros de visas a políticos mexicanos.",ProPublica,https://www.propublica.org/article/trump-mexico-travel-visa-restrictions-politicians-sheinbaum,2026-01-01,,,,,,,,,,,
trump,Donald Trump,Presidente de Estados Unidos,Trump (EEUU),A,alto,9,,DT,"Presidente de Estados Unidos. Su gobierno ha incrementado la presión sobre México en materia de huachicol fiscal, combate al narcotráfico y revocación de visas a decenas de políticos mexicanos señalados por vínculos con el crimen organizado.",ProPublica,https://www.propublica.org/article/trump-mexico-travel-visa-restrictions-politicians-sheinbaum,2026-01-01,,,,,,,,,,,
rubio,Marco Rubio,Secretario de Estado de Estados Unidos,Trump (EEUU),A,medio,7,,MR,"Secretario de Estado de Estados Unidos. Fue señalado directamente por Andy López Beltrán, en carta dirigida a Trump, de actuar en su contra por motivos políticos tras la revocación de su visa.",Récord,https://www.record.com.mx/historia/ee-uu-revoca-visa-a-hijos-de-amlo-aumenta-la-tension-con-politicos-mexicanos-2026081714081801658,2026-08-17,,,,,,,,,,,
rosa_icela,Rosa Icela Rodríguez,Secretaria de Gobernación,Sheinbaum,B,medio,7,,RI,"Titular de la Secretaría de Gobernación desde el inicio del sexenio, a cargo de la política interna. Su gestión ha enfrentado episodios de tensión, incluidas manifestaciones campesinas y de transportistas que alimentaron versiones de un posible relevo en el cargo.",Serpientes y Escaleras,https://serpientesyescaleras.mx/en-2026-la-presidenta-mueve-sus-piezas/,2025-12-15,bajo,Cargo designado; sin base electoral propia ni fricción documentada con el núcleo actual.,,,,,,,,,
rocha_moya,Rubén Rocha Moya,Gobernador de Sinaloa,Sheinbaum,C,alto,6,,RR,Gobernador de Sinaloa por Morena. En abril de 2026 fue formalmente acusado por fiscales federales de Estados Unidos (Distrito Sur de Nueva York) de narcotráfico y posesión de armas por presuntos vínculos con el Cártel de Sinaloa; se separó del cargo temporalmente y se reincorporó en agosto de 2026 tras 112 días de investigación de la FGR sin hallar pruebas en su contra. Es el funcionario de más alto rango de Morena señalado formalmente por la justicia estadounidense.,CNN en Español,https://cnnespanol.cnn.com/2026/08/21/mexico/rocha-moya-retoma-gobernador-sinaloa-narcotrafico-orix,2026-08-21,alto,"Gobernador con base electoral propia en Sinaloa, en fricción real y documentada con el gobierno federal por la acusación de EE.UU.",,,,,,,,,
luisa_maria_alcalde,Luisa María Alcalde,Consejera Jurídica de la Presidencia,Sheinbaum,C,medio,6,,LA,"Exdirigente nacional de Morena, asumió la Consejería Jurídica de la Presidencia el 1 de mayo de 2026. En agosto de 2026 proyectó en la conferencia matutina una presentación con nombres de periodistas, medios y políticos críticos al gobierno dentro del segmento 'Derecho de Réplica', lo que generó una fuerte controversia sobre censura y listas negras.",El Financiero,https://www.elfinanciero.com.mx/nacional/2026/08/14/sheinbaum-niega-que-4t-persiga-a-periodistas-no-son-listas-son-ejemplos/,2026-08-14,bajo,Cargo designado; su trayectoria depende de la estructura de Morena y de la confianza presidencial.,,,,,,,,,
jd_vance,JD Vance,Vicepresidente de Estados Unidos,Trump (EEUU),,medio,6,,JV,"Vicepresidente de Estados Unidos. Ha declarado públicamente que 'el tráfico de drogas debe parar', en el contexto de la presión de la administración Trump sobre México en materia de narcotráfico.",Infobae,https://www.infobae.com/mexico/2026/01/03/algo-habra-que-hacer-con-mexico-trump-asegura-que-ha-insitido-a-sheinbaum-atacar-a-los-carteles-del-narco/,2026-01-03,,,,,,,,,,,
landau,Christopher Landau,Subsecretario de Estado de Estados Unidos,Trump (EEUU),,medio,5,,CL,"Subsecretario de Estado de Estados Unidos. Fue señalado, junto con Marco Rubio, por Andy López Beltrán en su carta a Trump, de actuar en su contra por motivos políticos tras la revocación de su visa.",El Universal (Mario Maldonado),https://www.eluniversal.com.mx/opinion/mario-maldonado/la-reaccion-de-sheinbaum-a-la-carta-de-andy/,2026-08-17,,,,,,,,,,,
manzo,Carlos Manzo Rodríguez,Expresidente municipal de Uruapan (asesinado),Independiente,,alto,4,,CM,"Presidente municipal independiente de Uruapan, Michoacán, y crítico frontal del crimen organizado; exigía públicamente mayor intervención del Ejército y la Marina. Fue asesinado a tiros el 1 de noviembre de 2025 durante el Festival de las Velas. Su homicidio detonó protestas nacionales y el Plan Michoacán por la Paz y la Justicia del gobierno federal.",El Universal,https://www.eluniversal.com.mx/estados/lo-que-sabemos-del-asesinato-de-carlos-manzo-alcalde-de-uruapan/,2025-11-03,,,,,,,,,,,
alfonso_durazo,Alfonso Durazo Montaño,Gobernador de Sonora y Presidente del Consejo Nacional de Morena,Morena,B,bajo,6,,AD,"Gobernador de Sonora y presidente del Consejo Nacional de Morena, figura de peso territorial dentro del movimiento.",Análisis interno,,2026-08-22,medio,"Gobernador con base electoral propia en Sonora, independiente del cargo que ocupa en el gobierno federal.",,,,,,,,,
citlalli,Citlalli Hernández Mora,Presidenta de la Comisión Nacional de Elecciones de Morena,Morena,C,bajo,6,,CH,"Exsecretaria de las Mujeres; se sumó a la estructura de Morena en abril de 2026 al frente de la Comisión Nacional de Elecciones, clave en la definición de candidaturas rumbo a 2027.",La Silla Rota,https://lasillarota.com/nacion/2026/4/16/gobierno-de-claudia-sheinbaum-cuales-cambios-ha-habido-en-su-gabinete-592962.html,2026-04-16,bajo,Cargo designado en la dirigencia de Morena; sin base electoral propia independiente.,,,,,,,,,
manuel_velasco,Manuel Velasco Coello,Coordinador de senadores del Partido Verde,Oposición (PVEM),C,bajo,4,,MV,"Excoordinador de senadores del Partido Verde Ecologista, partido aliado de Morena en el Congreso.",Análisis interno,,2026-08-22,bajo,"Aliado legislativo externo (PVEM); su alineamiento depende del pacto con Morena, sin fricción documentada.",,,,,,,,,
mario_delgado,Mario Delgado Carrillo,Secretario de Educación Pública,Sheinbaum,C,bajo,6,,MD,"Exdirigente nacional de Morena, titular de la Secretaría de Educación Pública en el gabinete de Sheinbaum.",Análisis interno,,2026-08-22,bajo,"Cargo designado; su relevancia depende de la confianza presidencial, sin base electoral propia.",,,,,,,,,
sergio_salomon,Sergio Salomón Céspedes,Comisionado del Instituto Nacional de Migración,Sheinbaum,C,bajo,5,,SS,"Comisionado del Instituto Nacional de Migración, cargo sensible dado el frente migratorio con Estados Unidos.",Análisis interno,,2026-08-22,bajo,Cargo técnico designado; sin base política propia ni fricción documentada.,,,,,,,,,
ricardo_anaya,Ricardo Anaya Cortés,Dirigente opositor (PAN),Oposición (PAN),C,bajo,5,,RA,"Senador y Coordinador del Grupo Parlamentario del PAN en el Senado desde 2024; expresidente nacional del PAN y expresidente de la Cámara de Diputados. Ha liderado la oposición legislativa a la reforma electoral de Sheinbaum, exigiendo sanciones más duras a partidos que reciban dinero del crimen organizado, y encabezó el voto en contra de la ratificación de Roberto Velasco en la SRE por la postura del gobierno ante el informe de la ONU sobre desaparición forzada. Sin controversias personales relevantes documentadas.",PAN Senado / Wikipedia,https://www.pan.senado.gob.mx/integrantes/senador-ricardo-anaya-cortes/,2026-08-26,,,,,,,,,,,
jorge_romero,Jorge Romero Herrera,Dirigente nacional del PAN,Oposición (PAN),C,medio,5,,JR,"Presidente nacional del PAN desde el 19 de noviembre de 2024 (hasta 2027), tras ganar la elección interna con 78% de los votos. Diputado federal, expresidente de la Junta de Coordinación Política en la Cámara de Diputados (2021-2024). Reporta haber triplicado la preferencia electoral del PAN (de 7% a 21%) rumbo a 2027, atribuyéndolo al desgaste de Morena por señalamientos de vínculos con crimen organizado; rechaza acompañar la reforma electoral de Sheinbaum. En 2023 fue señalado por el caso 'Cártel Inmobiliario' en la CDMX, tras reportarse que un familiar suyo habría adquirido un departamento a bajo costo mediante la intercesión de un entonces diputado local panista.",Wikipedia (es) / SPR Informa,https://es.wikipedia.org/wiki/Jorge_Romero_Herrera,2026-08-26,,,,,,,,,,,
alvarez_maynez,Jorge Álvarez Máynez,Dirigente de Movimiento Ciudadano,Oposición (MC),C,bajo,4,,JA,"Excandidato presidencial y figura de Movimiento Ciudadano, tercera fuerza política nacional.",Análisis interno,,2026-08-22,,,,,,,,,,,
roberto_blanco_cantu,Roberto Blanco Cantú,Empresario,Red huachicol,,alto,3,,RB,Empresario señalado como nodo central en la red de huachicol fiscal vinculada a la Semar.,Análisis interno,,2026-08-22,,,,,,,,,,,
ernesto_ruffo,Ernesto Ruffo Appel,Exgobernador de Baja California,Red huachicol,,sin_evaluar,3,,ER,"Exgobernador de Baja California, señalado en la trama de huachicol fiscal según análisis interno.",Análisis interno,,2026-08-22,,,,,,,,,,,
riestra_fernandez,Armando III Riestra Fernández,Empresario,Red huachicol,,sin_evaluar,2,,AR,"Empresario señalado en la red de huachicol fiscal, según análisis interno.",Análisis interno,,2026-08-22,,,,,,,,,,,
goicoechea,Luis Jorge Goicoechea Sotomayor,Almirante,Red huachicol,,sin_evaluar,2,,LG,"Almirante de la Secretaría de Marina señalado en la red de huachicol fiscal, según análisis interno.",Análisis interno,,2026-08-22,,,,,,,,,,,
solano_ruiz,Miguel Ángel Solano Ruiz,"Capitán de Corbeta, Secretaría de Marina",Red huachicol,,sin_evaluar,1,,MS,"Capitán de Corbeta de la Semar, operador de la red ampliada de huachicol fiscal según análisis interno.",Análisis interno,,2026-08-22,,,,,,,,,,,
torres_joaquin,Alejandro Torres Joaquín,Exdirector de la Aduana de Tampico,Red huachicol,,sin_evaluar,1,,AT,"Exdirector de la Aduana de Tampico, operador aduanal de la red ampliada de huachicol fiscal según análisis interno.",Análisis interno,,2026-08-22,,,,,,,,,,,
soto_picha,Juan Carlos Soto Picha,Funcionario aduanal,Red huachicol,,sin_evaluar,1,,JS,Funcionario aduanal operador de la red ampliada de huachicol fiscal según análisis interno.,Análisis interno,,2026-08-22,,,,,,,,,,,
gonzalez_hemadi,Anuar González Hemadi,"Exjuez federal, exapoderado legal de Mefra Fletes",Red huachicol,,sin_evaluar,1,,AG,"Exjuez federal y exapoderado legal de Mefra Fletes, empresa señalada en la red ampliada de huachicol fiscal según análisis interno.",Análisis interno,,2026-08-22,,,,,,,,,,,
tijerina_mendoza,José René Tijerina Mendoza,"Empresario, socio de Mefra Fletes",Red huachicol,,sin_evaluar,1,,JT,"Empresario y socio de Mefra Fletes, señalado en la red ampliada de huachicol fiscal según análisis interno.",Análisis interno,,2026-08-22,,,,,,,,,,,
hernan_bermudez,Hernán Bermúdez Requena,Exsecretario de Seguridad Pública de Tabasco (prófugo),Red La Barredora,,alto,4,,HB,"Exsecretario de Seguridad Pública de Tabasco (2019-2024) durante la gubernatura de Adán Augusto López. Señalado por Sedena como líder del grupo criminal ""La Barredora"", vinculado al CJNG. Huyó de México en febrero de 2025 tras orden de aprehensión y ficha roja de Interpol.",Infobae,https://www.infobae.com/mexico/2025/07/21/la-barredora-aprovecho-el-tren-maya-para-distribuir-huachicol-y-rentar-terrenos-segun-reportes-militares/,2025-07-21,,,,,,,,,,,
carlos_merino,Carlos Merino Campos,Director de Aeropuertos y Servicios Auxiliares (ASA),Sheinbaum,,medio,4,,CM,"Gobernador interino de Tabasco tras la salida de Adán Augusto López; mantuvo a Hernán Bermúdez Requena como secretario de Seguridad pese a los señalamientos. Actualmente dirige ASA, responsable de la red aeroportuaria y el abastecimiento de combustible para aviones.",Impacto Noticias,https://impactonoticias.com.mx/mexico/la-barredora-intento-vender-huachicol-para-el-tren-maya-mcci/,2025-07-23,,,,,,,,,,,
lazaro_cardenas_batel,Lázaro Cárdenas Batel,Jefe de la Oficina de la Presidencia de la República,Sheinbaum,,bajo,3,,LC,Jefe de la Oficina de la Presidencia desde el 1 de octubre de 2024. Hijo de Cuauhtémoc Cárdenas y nieto de Lázaro Cárdenas del Río; fue jefe de Asesores de AMLO (2018-2023) y secretario permanente de la CELAC. Gobernador de Michoacán 2002-2008 (primer mandatario no priista del estado). Sheinbaum lo describió como alguien de 'toda su confianza'; sin controversias públicas relevantes documentadas.,El Universal,https://www.eluniversal.com.mx/nacion/lazaro-cardenas-batel-el-hombre-de-toda-la-confianza-de-sheinbaum-que-sera-jefe-de-la-oficina-que-revivio/,2026-08-24,,,,,,,,,,,
luz_elena_gonzalez_escobar,Luz Elena González Escobar,Secretaria de Energía,Sheinbaum,,bajo,3,,LE,"Secretaria de Energía desde el 1 de octubre de 2024. Economista por la UNAM, fue secretaria de Administración y Finanzas de la CDMX (2018-2024), donde redujo la deuda de la ciudad 7.8% sin subir impuestos. Sin experiencia técnica previa en el sector energético, pero es una de las colaboradoras de mayor confianza de Sheinbaum; sin controversias públicas relevantes documentadas.",CNN en Español,https://cnnespanol.cnn.com/2024/06/27/quien-es-luz-elena-gonzalez-escobar-futura-secretaria-energia-mexico-orix/,2026-08-24,,,,,,,,,,,
altagracia_gomez_sierra,Altagracia Gómez Sierra,Coordinadora del Consejo Asesor de Desarrollo Económico Regional y Relocalización,Sheinbaum,,bajo,3,,AG,"Coordinadora del Consejo Asesor de Desarrollo Económico Regional y Relocalización de Empresas desde noviembre de 2024, cargo honorífico sin salario gubernamental (aclarado por Sheinbaum tras críticas). Empresaria de Jalisco, hija del fundador de Minsa; abogada por la Escuela Libre de Derecho con estudios en Harvard Business School. Coordina a 14 empresarios (7 mujeres, 7 hombres) para atraer inversión privada y relocalización industrial; es una de las principales interlocutoras del sector empresarial con Palacio Nacional.",El Financiero (Bloomberg Businessweek),https://www.elfinanciero.com.mx/bloomberg-businessweek/2025/08/07/altagracia-la-socia-estrategica-del-nuevo-poder-economico/,2026-08-24,,,,,,,,,,,
jose_antonio_pena_merino,José Antonio Peña Merino,Titular de la Agencia de Transformación Digital y Telecomunicaciones,Sheinbaum,,sin_evaluar,3,,JA,"Titular de la Agencia de Transformación Digital y Telecomunicaciones (análisis interno, red personal).",Análisis interno,,2026-08-22,,,,,,,,,,,
clara_brugada_molina,Clara Brugada Molina,Jefa de Gobierno de la Ciudad de México,Sheinbaum,,medio,3,,CB,"Jefa de Gobierno de la Ciudad de México desde el 5 de octubre de 2024, electa con 51.9% de los votos (2,888,097). Exalcaldesa de Iztapalapa (2018-2023) y fundadora de las 'Utopías'. Al 30 de julio de 2026 enfrenta tres investigaciones administrativas abiertas y el antecedente del asesinato de dos de sus colaboradores en mayo de 2025; su aprobación ciudadana ha oscilado entre 61-63% pese al alza en percepción de inseguridad.",Cultura Colectiva,https://news.culturacolectiva.com/noticias/mexico/gobierno-mexico/quien-es-clara-brugada/,2026-07-30,,,,,,,,,,,
jose_ramon_lopez_beltran,José Ramón López Beltrán,Hijo de Andrés Manuel López Obrador,AMLO,,alto,3,,JR,"Hijo mayor de AMLO, sin cargo público formal. Ha sido señalado repetidamente por un estilo de vida de lujo (hoteles y tiendas de lujo en Cozumel, Cancún y Houston) que contrasta con la austeridad que predicó su padre. En abril de 2026 el exfuncionario Simón Levy denunció que estaría bajo investigación en EE.UU. por presunto lavado de dinero y triangulación de recursos, señalamiento que él ha negado. Diputados del PAN han presentado denuncias en su contra por presunto uso indebido de influencia.",Infobae,https://politico.mx/2026/04/09/hijo-de-amlo-en-la-mira-de-eua-revelan-presunta-investigacion-vs-jose-ramon-por-lavado-de-dinero/,2026-08-24,,,,,,,,,,,
gonzalo_lopez_beltran,Gonzalo López Beltrán,Hijo de Andrés Manuel López Obrador,AMLO,,alto,3,,GL,"Tercer hijo de AMLO, sin cargo público formal; fungió como 'supervisor honorífico' del Tren Interoceánico según su padre. Tras el descarrilamiento del 28 de diciembre de 2025 en Oaxaca (14 muertos, 109 heridos) y un segundo descarrilamiento el 14 de julio de 2026, el PAN presentó denuncias penales en su contra ante la FGR por homicidio culposo, tráfico de influencias y otros delitos, señalándolo como único supervisor de la obra. En 2024 Latinus/Loret de Mola lo vinculó, junto con el empresario Amílcar Olán, a una presunta red de tráfico de influencias en contratos del Tren Maya (negocio de balasto). En abril de 2026 fue mencionado en una columna sobre una presunta red del 'Cártel de la Limpieza'. En agosto de 2026 comenzó a operar políticamente dentro de Morena en la Ciudad de México.",El Universal / Infobae,https://www.eluniversal.com.mx/nacion/pan-denuncia-a-hijo-de-amlo-por-descarrilamientos-del-tren-interoceanico-acusa-que-fue-el-unico-supervisor-de-la-obra/,2026-08-24,,,,,,,,,,,
jesus_ramirez_cuevas,Jesús Ramírez Cuevas,Coordinador de Asesores de la Presidencia de la República,AMLO,,medio,3,,JR,"Coordinador de Asesores de la Presidencia desde octubre de 2024; fue vocero de AMLO y coordinador de Comunicación Social de 2018 a 2024. En 2026 ha sido señalado -sin acusación formal- por el libro 'Ni Venganza ni Perdón' (Scherer Ibarra/Fernández Menéndez) y por prensa, vinculándolo a un presunto desvío de 27 mil mdp del decreto de indemnización a extrabajadores de Luz y Fuerza del Centro, a redes de financiamiento opacas y, según una columna de Riva Palacio (abril 2025), a haber estado 'en la mira' de inteligencia de EE.UU.",Cultura Colectiva,https://news.culturacolectiva.com/noticias/mexico/gobierno-mexico/quien-es-jesus-ramirez-cuevas/,2026-08-05,,,,,,,,,,,
rafael_marin_mollinedo,Rafael Marín Mollinedo,Delegado de la Secretaría de Gobernación en Yucatán,AMLO,,sin_evaluar,3,,RM,"Delegado de la Secretaría de Gobernación en Yucatán (análisis interno, red personal).",Análisis interno,,2026-08-22,,,,,,,,,,,
octavio_romero_oropeza,Octavio Romero Oropeza,Director General del INFONAVIT,AMLO,,sin_evaluar,3,,OR,"Director General del INFONAVIT (análisis interno, red personal).",Análisis interno,,2026-08-22,,,,,,,,,,,
rocio_nahle_garcia,Rocío Nahle García,Gobernadora de Veracruz,AMLO,,sin_evaluar,3,,RN,"Gobernadora de Veracruz (análisis interno, red personal).",Análisis interno,,2026-08-22,,,,,,,,,,,
ignacio_mier_velazco,Ignacio Mier Velazco,Senador de la República y Presidente de la Junta de Coordinación Política del Senado,AMLO,,bajo,8,,IM,"Presidente de la JUCOPO y Coordinador del Grupo Parlamentario de Morena en el Senado. Encargado legal de negociar leyes, agenda del Congreso y presupuesto con los demás grupos parlamentarios.",,,2026-08-26,,,,,,,,,,,
layda_sansores_san_roman,Layda Sansores San Román,Gobernadora de Campeche,AMLO,,sin_evaluar,3,,LS,"Gobernadora de Campeche (análisis interno, red personal).",Análisis interno,,2026-08-22,,,,,,,,,,,
