id,nombre,cargo,grupo,nucleo,nivel_riesgo,nivel_influencia,avatar_local,iniciales,descripcion,fuente_nombre,fuente_url,fecha_corte
ebrard,Marcelo Ebrard,Secretario de Economía,Sheinbaum,B,bajo,8,,ME,"Titular de la Secretaría de Economía, a cargo de la negociación comercial con Estados Unidos y Canadá en el contexto de la revisión del T-MEC.",La Silla Rota,https://lasillarota.com/nacion/2026/5/1/gobierno-de-claudia-sheinbaum-estos-son-los-cambios-que-ha-habido-en-su-gabinete-592962.html,2026-05-01
velasco,Roberto Velasco,Secretario de Relaciones Exteriores,Sheinbaum,,bajo,6,,RV,Asumió la SRE el 1 de abril de 2026 tras la salida de Juan Ramón de la Fuente por motivos de salud; enfrenta un contexto de tensión diplomática y comercial con Estados Unidos.,Periódico Correo,https://periodicocorreo.com.mx/nacional/2026/apr/02/gabinete-de-sheinbaum-cambios-en-areas-clave-a-ano-y-medio-de-su-gobierno-153761.html,2026-04-02
ojeda,Rafael Ojeda Durán,Exsecretario de Marina,Institucional,,alto,3,,RO,"Exsecretario de Marina-Armada de México (2018-2024). Sus sobrinos políticos, los hermanos Farías Laguna, son señalados como líderes de la red de huachicol fiscal descubierta en la dependencia.",Infobae,https://www.infobae.com/mexico/2026/08/21/buques-empresas-fantasma-y-servidores-publicos-corruptos-el-mapa-del-huachicol-fiscal-que-llevo-a-farias-laguna-al-altiplano/,2026-08-21
farias_manuel,Manuel Roberto Farías Laguna,Exvicealmirante de la Semar,Institucional,,alto,2,,MF,"Exvicealmirante de la Secretaría de Marina, detenido en septiembre de 2025 y preso en el penal del Altiplano, señalado como líder de la red de huachicol fiscal junto con su hermano Fernando.",Infobae,https://www.infobae.com/mexico/2026/08/21/buques-empresas-fantasma-y-servidores-publicos-corruptos-el-mapa-del-huachicol-fiscal-que-llevo-a-farias-laguna-al-altiplano/,2026-08-21
farias_fernando,Fernando Farías Laguna,Excontralmirante de la Semar,Institucional,,alto,2,,FF,"Excontralmirante de la Marina, prófugo desde 2025; fue detenido en Buenos Aires el 23 de abril de 2026 con pasaporte falso y trasladado a México en agosto de 2026 por su presunto liderazgo en la red de huachicol fiscal.",Infobae,https://www.infobae.com/mexico/2026/08/21/buques-empresas-fantasma-y-servidores-publicos-corruptos-el-mapa-del-huachicol-fiscal-que-llevo-a-farias-laguna-al-altiplano/,2026-08-21
marina_pilar,Marina del Pilar Ávila,Gobernadora de Baja California,Sheinbaum,,alto,5,,MP,"Gobernadora de Baja California; confirmó que a ella y a su esposo, un exdiputado, les fue revocada la visa estadounidense por 'una situación' relacionada con él, en el marco de una ola de retiros de visas a políticos mexicanos.",ProPublica,https://www.propublica.org/article/trump-mexico-travel-visa-restrictions-politicians-sheinbaum,2026-01-01
trump,Donald Trump,Presidente de Estados Unidos,Trump (EEUU),A,alto,9,,DT,"Presidente de Estados Unidos. Su gobierno ha incrementado la presión sobre México en materia de huachicol fiscal, combate al narcotráfico y revocación de visas a decenas de políticos mexicanos señalados por vínculos con el crimen organizado.",ProPublica,https://www.propublica.org/article/trump-mexico-travel-visa-restrictions-politicians-sheinbaum,2026-01-01
rubio,Marco Rubio,Secretario de Estado de Estados Unidos,Trump (EEUU),A,medio,7,,MR,"Secretario de Estado de Estados Unidos. Fue señalado directamente por Andy López Beltrán, en carta dirigida a Trump, de actuar en su contra por motivos políticos tras la revocación de su visa.",Récord,https://www.record.com.mx/historia/ee-uu-revoca-visa-a-hijos-de-amlo-aumenta-la-tension-con-politicos-mexicanos-2026081714081801658,2026-08-17
rosa_icela,Rosa Icela Rodríguez,Secretaria de Gobernación,Sheinbaum,B,medio,7,,RI,"Titular de la Secretaría de Gobernación desde el inicio del sexenio, a cargo de la política interna. Su gestión ha enfrentado episodios de tensión, incluidas manifestaciones campesinas y de transportistas que alimentaron versiones de un posible relevo en el cargo.",Serpientes y Escaleras,https://serpientesyescaleras.mx/en-2026-la-presidenta-mueve-sus-piezas/,2025-12-15
rocha_moya,Rubén Rocha Moya,Gobernador de Sinaloa,Sheinbaum,C,alto,6,,RR,Gobernador de Sinaloa por Morena. En abril de 2026 fue formalmente acusado por fiscales federales de Estados Unidos (Distrito Sur de Nueva York) de narcotráfico y posesión de armas por presuntos vínculos con el Cártel de Sinaloa; se separó del cargo temporalmente y se reincorporó en agosto de 2026 tras 112 días de investigación de la FGR sin hallar pruebas en su contra. Es el funcionario de más alto rango de Morena señalado formalmente por la justicia estadounidense.,CNN en Español,https://cnnespanol.cnn.com/2026/08/21/mexico/rocha-moya-retoma-gobernador-sinaloa-narcotrafico-orix,2026-08-21
luisa_maria_alcalde,Luisa María Alcalde,Consejera Jurídica de la Presidencia,Sheinbaum,C,medio,6,,LA,"Exdirigente nacional de Morena, asumió la Consejería Jurídica de la Presidencia el 1 de mayo de 2026. En agosto de 2026 proyectó en la conferencia matutina una presentación con nombres de periodistas, medios y políticos críticos al gobierno dentro del segmento 'Derecho de Réplica', lo que generó una fuerte controversia sobre censura y listas negras.",El Financiero,https://www.elfinanciero.com.mx/nacional/2026/08/14/sheinbaum-niega-que-4t-persiga-a-periodistas-no-son-listas-son-ejemplos/,2026-08-14
jd_vance,JD Vance,Vicepresidente de Estados Unidos,Trump (EEUU),,medio,6,,JV,"Vicepresidente de Estados Unidos. Ha declarado públicamente que 'el tráfico de drogas debe parar', en el contexto de la presión de la administración Trump sobre México en materia de narcotráfico.",Infobae,https://www.infobae.com/mexico/2026/01/03/algo-habra-que-hacer-con-mexico-trump-asegura-que-ha-insitido-a-sheinbaum-atacar-a-los-carteles-del-narco/,2026-01-03
landau,Christopher Landau,Subsecretario de Estado de Estados Unidos,Trump (EEUU),,medio,5,,CL,"Subsecretario de Estado de Estados Unidos. Fue señalado, junto con Marco Rubio, por Andy López Beltrán en su carta a Trump, de actuar en su contra por motivos políticos tras la revocación de su visa.",El Universal (Mario Maldonado),https://www.eluniversal.com.mx/opinion/mario-maldonado/la-reaccion-de-sheinbaum-a-la-carta-de-andy/,2026-08-17
manzo,Carlos Manzo Rodríguez,Expresidente municipal de Uruapan (asesinado),Independiente,,alto,4,,CM,"Presidente municipal independiente de Uruapan, Michoacán, y crítico frontal del crimen organizado; exigía públicamente mayor intervención del Ejército y la Marina. Fue asesinado a tiros el 1 de noviembre de 2025 durante el Festival de las Velas. Su homicidio detonó protestas nacionales y el Plan Michoacán por la Paz y la Justicia del gobierno federal.",El Universal,https://www.eluniversal.com.mx/estados/lo-que-sabemos-del-asesinato-de-carlos-manzo-alcalde-de-uruapan/,2025-11-03
alfonso_durazo,Alfonso Durazo Montaño,Gobernador de Sonora y Presidente del Consejo Nacional de Morena,Morena,B,bajo,6,,AD,"Gobernador de Sonora y presidente del Consejo Nacional de Morena, figura de peso territorial dentro del movimiento.",Análisis interno,,2026-08-22
citlalli,Citlalli Hernández Mora,Presidenta de la Comisión Nacional de Elecciones de Morena,Morena,C,bajo,6,,CH,"Exsecretaria de las Mujeres; se sumó a la estructura de Morena en abril de 2026 al frente de la Comisión Nacional de Elecciones, clave en la definición de candidaturas rumbo a 2027.",La Silla Rota,https://lasillarota.com/nacion/2026/4/16/gobierno-de-claudia-sheinbaum-cuales-cambios-ha-habido-en-su-gabinete-592962.html,2026-04-16
manuel_velasco,Manuel Velasco Coello,Coordinador de senadores del Partido Verde,Oposición (PVEM),C,bajo,4,,MV,"Excoordinador de senadores del Partido Verde Ecologista, partido aliado de Morena en el Congreso.",Análisis interno,,2026-08-22
mario_delgado,Mario Delgado Carrillo,Secretario de Educación Pública,Sheinbaum,C,bajo,6,,MD,"Exdirigente nacional de Morena, titular de la Secretaría de Educación Pública en el gabinete de Sheinbaum.",Análisis interno,,2026-08-22
sergio_salomon,Sergio Salomón Céspedes,Comisionado del Instituto Nacional de Migración,Sheinbaum,C,bajo,5,,SS,"Comisionado del Instituto Nacional de Migración, cargo sensible dado el frente migratorio con Estados Unidos.",Análisis interno,,2026-08-22
ricardo_anaya,Ricardo Anaya Cortés,Dirigente opositor (PAN),Oposición (PAN),C,medio,5,,RA,"Excandidato presidencial y figura de oposición del PAN, con peso en el debate político nacional.",Análisis interno,,2026-08-22
jorge_romero,Jorge Romero Herrera,Dirigente nacional del PAN,Oposición (PAN),C,medio,5,,JR,Dirigente nacional del Partido Acción Nacional.,Análisis interno,,2026-08-22
alvarez_maynez,Jorge Álvarez Máynez,Dirigente de Movimiento Ciudadano,Oposición (MC),C,bajo,4,,JA,"Excandidato presidencial y figura de Movimiento Ciudadano, tercera fuerza política nacional.",Análisis interno,,2026-08-22
roberto_blanco_cantu,Roberto Blanco Cantú,Empresario,Red huachicol,,alto,3,,RB,Empresario señalado como nodo central en la red de huachicol fiscal vinculada a la Semar.,Análisis interno,,2026-08-22
ernesto_ruffo,Ernesto Ruffo Appel,Exgobernador de Baja California,Red huachicol,,medio,3,,ER,"Exgobernador de Baja California, señalado en la trama de huachicol fiscal según análisis interno.",Análisis interno,,2026-08-22
riestra_fernandez,Armando III Riestra Fernández,Empresario,Red huachicol,,medio,2,,AR,"Empresario señalado en la red de huachicol fiscal, según análisis interno.",Análisis interno,,2026-08-22
goicoechea,Luis Jorge Goicoechea Sotomayor,Almirante,Red huachicol,,medio,2,,LG,"Almirante de la Secretaría de Marina señalado en la red de huachicol fiscal, según análisis interno.",Análisis interno,,2026-08-22
solano_ruiz,Miguel Ángel Solano Ruiz,"Capitán de Corbeta, Secretaría de Marina",Red huachicol,,medio,1,,MS,"Capitán de Corbeta de la Semar, operador de la red ampliada de huachicol fiscal según análisis interno.",Análisis interno,,2026-08-22
torres_joaquin,Alejandro Torres Joaquín,Exdirector de la Aduana de Tampico,Red huachicol,,medio,1,,AT,"Exdirector de la Aduana de Tampico, operador aduanal de la red ampliada de huachicol fiscal según análisis interno.",Análisis interno,,2026-08-22
soto_picha,Juan Carlos Soto Picha,Funcionario aduanal,Red huachicol,,medio,1,,JS,Funcionario aduanal operador de la red ampliada de huachicol fiscal según análisis interno.,Análisis interno,,2026-08-22
gonzalez_hemadi,Anuar González Hemadi,"Exjuez federal, exapoderado legal de Mefra Fletes",Red huachicol,,medio,1,,AG,"Exjuez federal y exapoderado legal de Mefra Fletes, empresa señalada en la red ampliada de huachicol fiscal según análisis interno.",Análisis interno,,2026-08-22
tijerina_mendoza,José René Tijerina Mendoza,"Empresario, socio de Mefra Fletes",Red huachicol,,medio,1,,JT,"Empresario y socio de Mefra Fletes, señalado en la red ampliada de huachicol fiscal según análisis interno.",Análisis interno,,2026-08-22
hernan_bermudez,Hernán Bermúdez Requena,Exsecretario de Seguridad Pública de Tabasco (prófugo),Red La Barredora,,alto,4,,HB,"Exsecretario de Seguridad Pública de Tabasco (2019-2024) durante la gubernatura de Adán Augusto López. Señalado por Sedena como líder del grupo criminal ""La Barredora"", vinculado al CJNG. Huyó de México en febrero de 2025 tras orden de aprehensión y ficha roja de Interpol.",Infobae,https://www.infobae.com/mexico/2025/07/21/la-barredora-aprovecho-el-tren-maya-para-distribuir-huachicol-y-rentar-terrenos-segun-reportes-militares/,2025-07-21
carlos_merino,Carlos Merino Campos,Director de Aeropuertos y Servicios Auxiliares (ASA),Sheinbaum,,medio,4,,CM,"Gobernador interino de Tabasco tras la salida de Adán Augusto López; mantuvo a Hernán Bermúdez Requena como secretario de Seguridad pese a los señalamientos. Actualmente dirige ASA, responsable de la red aeroportuaria y el abastecimiento de combustible para aviones.",Impacto Noticias,https://impactonoticias.com.mx/mexico/la-barredora-intento-vender-huachicol-para-el-tren-maya-mcci/,2025-07-23
lazaro_cardenas_batel,Lázaro Cárdenas Batel,Jefe de la Oficina de la Presidencia de la República,Análisis interno,,medio,3,,LC,"Jefe de la Oficina de la Presidencia de la República (análisis interno, red personal).",Análisis interno,,2026-08-22
luz_elena_gonzalez_escobar,Luz Elena González Escobar,Secretaria de Energía,Análisis interno,,medio,3,,LE,"Secretaria de Energía (análisis interno, red personal).",Análisis interno,,2026-08-22
altagracia_gomez_sierra,Altagracia Gómez Sierra,Coordinadora del Consejo Asesor de Desarrollo Económico Regional y Relocalización,Análisis interno,,medio,3,,AG,"Coordinadora del Consejo Asesor de Desarrollo Económico Regional y Relocalización (análisis interno, red personal).",Análisis interno,,2026-08-22
jose_antonio_pena_merino,José Antonio Peña Merino,Titular de la Agencia de Transformación Digital y Telecomunicaciones,Análisis interno,,medio,3,,JA,"Titular de la Agencia de Transformación Digital y Telecomunicaciones (análisis interno, red personal).",Análisis interno,,2026-08-22
clara_brugada_molina,Clara Brugada Molina,Jefa de Gobierno de la Ciudad de México,Análisis interno,,medio,3,,CB,"Jefa de Gobierno de la Ciudad de México (análisis interno, red personal).",Análisis interno,,2026-08-22
jose_ramon_lopez_beltran,José Ramón López Beltrán,Hijo de Andrés Manuel López Obrador,Análisis interno,,medio,3,,JR,"Hijo de Andrés Manuel López Obrador (análisis interno, red personal).",Análisis interno,,2026-08-22
gonzalo_lopez_beltran,Gonzalo López Beltrán,Hijo de Andrés Manuel López Obrador,Análisis interno,,medio,3,,GL,"Hijo de Andrés Manuel López Obrador (análisis interno, red personal).",Análisis interno,,2026-08-22
jesus_ramirez_cuevas,Jesús Ramírez Cuevas,Coordinador de Asesores de la Presidencia de la República,Análisis interno,,medio,3,,JR,"Coordinador de Asesores de la Presidencia desde octubre de 2024; fue vocero de AMLO y coordinador de Comunicación Social de 2018 a 2024. En 2026 ha sido señalado -sin acusación formal- por el libro 'Ni Venganza ni Perdón' (Scherer Ibarra/Fernández Menéndez) y por prensa, vinculándolo a un presunto desvío de 27 mil mdp del decreto de indemnización a extrabajadores de Luz y Fuerza del Centro, a redes de financiamiento opacas y, según una columna de Riva Palacio (abril 2025), a haber estado 'en la mira' de inteligencia de EE.UU.",Cultura Colectiva,https://news.culturacolectiva.com/noticias/mexico/gobierno-mexico/quien-es-jesus-ramirez-cuevas/,2026-08-05
rafael_marin_mollinedo,Rafael Marín Mollinedo,Delegado de la Secretaría de Gobernación en Yucatán,Análisis interno,,medio,3,,RM,"Delegado de la Secretaría de Gobernación en Yucatán (análisis interno, red personal).",Análisis interno,,2026-08-22
octavio_romero_oropeza,Octavio Romero Oropeza,Director General del INFONAVIT,Análisis interno,,medio,3,,OR,"Director General del INFONAVIT (análisis interno, red personal).",Análisis interno,,2026-08-22
rocio_nahle_garcia,Rocío Nahle García,Gobernadora de Veracruz,Análisis interno,,medio,3,,RN,"Gobernadora de Veracruz (análisis interno, red personal).",Análisis interno,,2026-08-22
ignacio_mier_velazco,Ignacio Mier Velazco,Senador de la República y Presidente de la Junta de Coordinación Política del Senado,Análisis interno,,medio,3,,IM,"Senador de la República y Presidente de la Junta de Coordinación Política del Senado (análisis interno, red personal).",Análisis interno,,2026-08-22
layda_sansores_san_roman,Layda Sansores San Román,Gobernadora de Campeche,Análisis interno,,medio,3,,LS,"Gobernadora de Campeche (análisis interno, red personal).",Análisis interno,,2026-08-22
ronald_johnson,Ronald Johnson,Embajador de Estados Unidos en México,Análisis interno,,medio,3,,RJ,"Embajador de Estados Unidos en México (análisis interno, red personal).",Análisis interno,,2026-08-22
pete_hegseth,Pete Hegseth,Secretario de Defensa de Estados Unidos,Análisis interno,,medio,3,,PH,"Secretario de Defensa de Estados Unidos (análisis interno, red personal).",Análisis interno,,2026-08-22
stephen_miller,Stephen Miller,Subjefe de Gabinete de la Casa Blanca para Política,Análisis interno,,medio,3,,SM,"Subjefe de Gabinete de la Casa Blanca para Política (análisis interno, red personal).",Análisis interno,,2026-08-22
howard_lutnick,Howard Lutnick,Secretario de Comercio de Estados Unidos,Análisis interno,,medio,3,,HL,"Secretario de Comercio de Estados Unidos (análisis interno, red personal).",Análisis interno,,2026-08-22
jamieson_greer,Jamieson Greer,Representante Comercial de Estados Unidos,Análisis interno,,medio,3,,JG,"Representante Comercial de Estados Unidos (análisis interno, red personal).",Análisis interno,,2026-08-22
steve_witkoff,Steve Witkoff,Enviado Especial del Presidente de Estados Unidos,Análisis interno,,medio,3,,SW,"Enviado Especial del Presidente de Estados Unidos (análisis interno, red personal).",Análisis interno,,2026-08-22
terrance_cole,Terrance Cole,Director de la DEA,Análisis interno,,medio,3,,TC,"Director de la DEA (análisis interno, red personal).",Análisis interno,,2026-08-22
francisco_almazan_barocio,Francisco Almazán Barocio,Director General del Centro Nacional de Inteligencia,Análisis interno,,medio,3,,FA,"Director General del Centro Nacional de Inteligencia (análisis interno, red personal).",Análisis interno,,2026-08-22
francisco_javier_moreno_montano,Francisco Javier Moreno Montaño,Comisionado del Servicio de Protección Federal,Análisis interno,,medio,3,,FJ,"Comisionado del Servicio de Protección Federal (análisis interno, red personal).",Análisis interno,,2026-08-22
pablo_vazquez_camacho,Pablo Vázquez Camacho,Secretario de Seguridad Ciudadana de la Ciudad de México,Análisis interno,,medio,3,,PV,"Secretario de Seguridad Ciudadana de la Ciudad de México (análisis interno, red personal).",Análisis interno,,2026-08-22
marcela_figueroa_franco,Marcela Figueroa Franco,Secretaria Ejecutiva del Sistema Nacional de Seguridad Pública,Análisis interno,,medio,3,,MF,"Secretaria Ejecutiva del Sistema Nacional de Seguridad Pública (análisis interno, red personal).",Análisis interno,,2026-08-22
omar_reyes_colmenares,Omar Reyes Colmenares,Titular de la Unidad de Inteligencia Financiera,Análisis interno,,medio,3,,OR,"Titular de la Unidad de Inteligencia Financiera (análisis interno, red personal).",Análisis interno,,2026-08-22
israel_benitez_lopez,Israel Benítez López,Director General de Pemex Logística,Análisis interno,,medio,3,,IB,"Director General de Pemex Logística (análisis interno, red personal).",Análisis interno,,2026-08-22
ricardo_trevilla_trejo,Ricardo Trevilla Trejo,Secretario de la Defensa Nacional,Análisis interno,,medio,3,,RT,"Secretario de la Defensa Nacional (análisis interno, red personal).",Análisis interno,,2026-08-22
raymundo_pedro_morales_angeles,Raymundo Pedro Morales Ángeles,Secretario de Marina,Análisis interno,,medio,3,,RP,"Secretario de Marina (análisis interno, red personal).",Análisis interno,,2026-08-22
luis_rodriguez_bucio,Luis Rodríguez Bucio,Comandante de la Guardia Nacional,Análisis interno,,medio,3,,LR,"Comandante de la Guardia Nacional (análisis interno, red personal).",Análisis interno,,2026-08-22
leticia_ramirez_amaya,Leticia Ramírez Amaya,Secretaria de Bienestar,Análisis interno,,medio,3,,LR,"Secretaria de Bienestar (análisis interno, red personal).",Análisis interno,,2026-08-22
ulises_lara_lopez,Ulises Lara López,Exfuncionario de la Fiscalía General de la República,Análisis interno,,medio,3,,UL,"Exfuncionario de la Fiscalía General de la República (análisis interno, red personal).",Análisis interno,,2026-08-22
arturo_zaldivar_lelo_de_larrea,Arturo Zaldívar Lelo de Larrea,Coordinador General de Política y Gobierno de la Presidencia de la República,Análisis interno,,medio,3,,AZ,"Coordinador General de Política y Gobierno de la Presidencia de la República (análisis interno, red personal).",Análisis interno,,2026-08-22
pablo_gomez_alvarez,Pablo Gómez Álvarez,Exintegrante de la Comisión Presidencial para la Reforma Electoral,Análisis interno,,medio,3,,PG,"Exintegrante de la Comisión Presidencial para la Reforma Electoral (análisis interno, red personal).",Análisis interno,,2026-08-22
luis_rosendo_gutierrez_romano,Luis Rosendo Gutiérrez Romano,Subsecretario de Comercio Exterior,Análisis interno,,medio,3,,LR,"Subsecretario de Comercio Exterior (análisis interno, red personal).",Análisis interno,,2026-08-22
ximena_escobedo_juarez,Ximena Escobedo Juárez,Subsecretaria de Industria y Comercio,Análisis interno,,medio,3,,XE,"Subsecretaria de Industria y Comercio (análisis interno, red personal).",Análisis interno,,2026-08-22
martha_delgado_peralta,Martha Delgado Peralta,Exsubsecretaria para Asuntos Multilaterales y Derechos Humanos de la SRE,Análisis interno,,medio,3,,MD,"Exsubsecretaria para Asuntos Multilaterales y Derechos Humanos de la SRE (análisis interno, red personal).",Análisis interno,,2026-08-22
malu_micher_camarena,Malú Mícher Camarena,Senadora de la República,Análisis interno,,medio,3,,MM,"Senadora de la República (análisis interno, red personal).",Análisis interno,,2026-08-22
jesus_valdes_pena,Jesús Valdés Peña,Coordinador Nacional de Avanzada Nacional,Análisis interno,,medio,3,,JV,"Coordinador Nacional de Avanzada Nacional (análisis interno, red personal).",Análisis interno,,2026-08-22
vidal_llerenas_morales,Vidal Llerenas Morales,Subsecretario de Industria y Comercio,Análisis interno,,medio,3,,VL,"Subsecretario de Industria y Comercio (análisis interno, red personal).",Análisis interno,,2026-08-22
gabriel_garcia_hernandez,Gabriel García Hernández,Delegado Nacional de Morena,Análisis interno,,medio,3,,GG,"Delegado Nacional de Morena (análisis interno, red personal).",Análisis interno,,2026-08-22
carlos_torres_rosas,Carlos Torres Rosas,Excoordinador General de Programas para el Desarrollo,Análisis interno,,medio,3,,CT,"Excoordinador General de Programas para el Desarrollo (análisis interno, red personal).",Análisis interno,,2026-08-22
daniel_asaf_manjarrez,Daniel Asaf Manjarrez,Diputado federal por Morena,Análisis interno,,medio,3,,DA,"Diputado federal por Morena (análisis interno, red personal).",Análisis interno,,2026-08-22
amilcar_olan_aparicio,Amílcar Olán Aparicio,Empresario,Análisis interno,,medio,3,,AO,"Empresario (análisis interno, red personal).",Análisis interno,,2026-08-22
alex_tonatiuh_marquez_hernandez,Álex Tonatiuh Márquez Hernández,Exdirector de Investigación Aduanera de la ANAM,Análisis interno,,medio,3,,ÁT,"Exdirector de Investigación Aduanera de la ANAM (análisis interno, red personal).",Análisis interno,,2026-08-22
mario_mabarak,Mario Mabarak,Empresario,Análisis interno,,medio,3,,MM,"Empresario (análisis interno, red personal).",Análisis interno,,2026-08-22
ricardo_pacheco,Ricardo Pacheco,Empresario,Análisis interno,,medio,3,,RP,"Empresario (análisis interno, red personal).",Análisis interno,,2026-08-22
bertha_lujan_uranga,Bertha Luján Uranga,Expresidenta del Consejo Nacional de Morena,Análisis interno,,medio,3,,BL,"Expresidenta del Consejo Nacional de Morena (análisis interno, red personal).",Análisis interno,,2026-08-22
arturo_alcalde_justiniani,Arturo Alcalde Justiniani,Abogado laboralista y dirigente sindical,Análisis interno,,medio,3,,AA,"Abogado laboralista y dirigente sindical (análisis interno, red personal).",Análisis interno,,2026-08-22
bertha_alcalde_lujan,Bertha Alcalde Luján,Fiscal General de Justicia de la Ciudad de México,Análisis interno,,medio,3,,BA,"Fiscal General de Justicia de la Ciudad de México (análisis interno, red personal).",Análisis interno,,2026-08-22
marti_batres_guadarrama,Martí Batres Guadarrama,Director General del ISSSTE,Análisis interno,,medio,3,,MB,"Director General del ISSSTE (análisis interno, red personal).",Análisis interno,,2026-08-22
